ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_1,0.00,9.09,0.00,18.18,0.00,0.00,0.00,27.27,0.00,0.00,0.00,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00
Seq_2,0.00,0.00,17.65,5.88,5.88,11.76,0.00,5.88,5.88,0.00,5.88,5.88,5.88,0.00,0.00,5.88,11.76,0.00,11.76,0.00
Seq_3,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,13.33,6.67,13.33,6.67,0.00,0.00,0.00,6.67,6.67,20.00,0.00,0.00
Seq_4,0.00,10.53,5.26,5.26,5.26,10.53,10.53,10.53,21.05,5.26,0.00,0.00,0.00,0.00,5.26,5.26,0.00,5.26,0.00,0.00
Seq_5,25.00,6.25,12.50,0.00,6.25,12.50,0.00,6.25,6.25,0.00,0.00,0.00,6.25,0.00,12.50,0.00,6.25,0.00,0.00,0.00
Seq_6,6.67,0.00,6.67,20.00,0.00,20.00,0.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,13.33,0.00,6.67,0.00,0.00,0.00
Seq_7,16.67,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,8.33,8.33,16.67
Seq_8,26.67,0.00,13.33,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,0.00,13.33
Seq_9,5.88,5.88,0.00,0.00,0.00,5.88,0.00,0.00,11.76,11.76,5.88,5.88,5.88,5.88,11.76,0.00,11.76,5.88,0.00,5.88
Seq_10,6.67,0.00,0.00,6.67,6.67,6.67,6.67,6.67,0.00,13.33,6.67,0.00,6.67,6.67,0.00,13.33,0.00,6.67,0.00,6.67
Seq_11,15.00,0.00,0.00,10.00,5.00,30.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,15.00
Seq_12,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,6.67,20.00,6.67,0.00,0.00,0.00,6.67,20.00,6.67,6.67,6.67,0.00
Seq_13,10.00,0.00,0.00,5.00,0.00,10.00,0.00,0.00,5.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,5.00,0.00
Seq_14,5.56,0.00,0.00,5.56,5.56,0.00,5.56,5.56,11.11,0.00,0.00,0.00,11.11,0.00,22.22,11.11,5.56,5.56,0.00,5.56
Seq_15,13.33,0.00,6.67,0.00,6.67,26.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,13.33
Seq_16,13.33,0.00,0.00,6.67,0.00,6.67,6.67,0.00,6.67,6.67,0.00,0.00,6.67,13.33,0.00,13.33,6.67,13.33,0.00,0.00
Seq_17,5.88,5.88,0.00,0.00,0.00,17.65,0.00,5.88,0.00,17.65,0.00,11.76,11.76,5.88,0.00,5.88,0.00,5.88,5.88,0.00
Seq_18,18.75,6.25,0.00,0.00,6.25,6.25,12.50,0.00,0.00,12.50,0.00,6.25,6.25,6.25,0.00,6.25,0.00,12.50,0.00,0.00
Seq_19,0.00,13.33,6.67,0.00,6.67,6.67,0.00,6.67,6.67,6.67,0.00,13.33,6.67,0.00,6.67,0.00,13.33,6.67,0.00,0.00
